Room Number,Name,VIP,Arrival,Nights,Adults/Children,Room Type,Rate Plan,Travel Agent,Market,Preferences,Owner
,,,,,,,,,,,
,28146,,10/12/2025 22:45,IH,,TWDX,"1,289.00EUR",,IBE,"BFC, CCS, CHAMP, MAR, PARK, SPA001, WTA",
,,,,,,,,,,,
,5006584,,HOLD,,,,0.00EUR,,SAL,BAL2,
,,,,,,,,,,,
,,,,,,,,"6,670.00EUR",,,
824,"Kristbjörnsdóttir, Gunnlaug, Ms ",,05/12/2025 15:34,7,1/0,KCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,28350,,12/12/2025 18:00,IH,,KCDX,810.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,DBL2,
,5007045,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,670.00EUR",,,
714,"Lapierre, Mathilde, Ms ",,05/12/2025 15:34,5,02-Jan,A1KB,CORL25,Siemens Gamesa,CORN,,
,,,,,,,,,,,
,28203,,10/12/2025 11:00,IH,,A1KB,679.00EUR,,IBE,"CRE25, DRI",
,,,,,,,,,,ACCESS,
,5006612,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,395.00EUR",,,
821,"Ozerov, Leon, Mr ",VIP,05/12/2025 15:34,5,1/0,TCDX,BAREX,,CORG,,
,,,,,,,,,,,
,28107,,10/12/2025 17:45,IH,,TCDX,830.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,EXT,
,5006432,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,150.00EUR",,,
830,"Vadeboncoeur, Rule, Mr ",,05/12/2025 15:34,4,1/0,KCST,BAREX,,CORN,,
,,,,,,,,,,,
,28243,,09/12/2025 23:30,IH,,KCST,"1,230.00EUR",,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006981,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,920.00EUR",,,
309,"Bruno, Victoria, Ms ",REG,06/12/2025 14:28,4,1/0,KGSP,BAR00,,PRMF,,
,,,,,,,,,,,
,28692,,10/12/2025 06:30,IH,,KGSP,789.00EUR,,SYN,,
,,,,,,,,,,,
,5006679,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,356.00EUR",,,
702,"Chalmers, Ryder, Mr ",,06/12/2025 14:29,9,1/0,KGDX,BAR10,Austrian Airlines,CORN,,
,,,,,,,,,,,
,28194,,15/12/2025 05:45,IH,,KGDX,711.20EUR,,SIT,BFE,
,,,,,,,,,,,
,5006540,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,240.80EUR",,,
314,"Cole, Claudia, Ms ",,06/12/2025 14:28,6,1/0,KGST,BARAD,,CORN,"KING,HF,PVIEW",
,,,,,,,,,,,
,28694,,12/12/2025 13:15,IH,,KGST,741.75EUR,,SIT,,
,,,,,,,,,,,
,5006657,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,675.50EUR",,,
117,"Ferri, Dorotea, Ms ",,06/12/2025 14:49,9,1/0,KINGR,OPQ,Volkswagen AG,PRMF,,
,,,,,,,,,,,
,27788,,15/12/2025 20:15,IH,,TWSP,490.00EUR,,IBE,BFC,
,,,,,,,,,,KING,
,5006179,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,410.00EUR",,,
134,"Greenham, Alicia, Mrs ",,06/12/2025 14:28,7,1/0,KCDX,BAREX,,CORL,,
,,,,,,,,,,,
,28676,,13/12/2025 22:15,IH,,KCDX,810.00EUR,,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,SAF,
,5007053,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,670.00EUR",,,
103,"Kadyrov, Kurzhan, Mrs ",,06/12/2025 14:29,3,1/0,KGDX,BAR10,Banco Bilbao Vizcaya,CORG,,
,,,,,,,,,,,
,27698,,09/12/2025 06:00,IH,,KGDX,631.20EUR,,IBE,BFE,
,,,,,,,,,,POW,
,5006156,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,053.60EUR",,,
223,"Lachapelle, Bruce, Mr ",VIP,06/12/2025 14:49,9,2/0,A1KB,BAREX,,CORL,,
,,,,,,,,,,,
,27767,,15/12/2025 09:45,IH,,TCDX,830.00EUR,,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,FPLACE,
,5006113,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"7,470.00EUR",,,
204,"Nekrasova, Elizabeth, Mrs ",,06/12/2025 14:28,9,1/0,KGDX,BARAD,Amazon Switzerland,CORG,MIN,
,,,,,,,,,,,
,28373,,15/12/2025 16:00,IH,,KGDX,666.75EUR,,SIT,,
,,,,,,,,,,,
,5006747,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,850.75EUR",,,
506,"Parry, Patrick, Mr ",,06/12/2025 14:29,8,2/0,TWDX,CORL25,Siemens Gamesa,PRMF,,
,,,,,,,,,,,
,27966,,14/12/2025 16:45,IH,,TWDX,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,,
,5006359,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,432.00EUR",,,
701,"Pawłowski, Jarosław, Dear Dr ",,06/12/2025 14:29,3,1/0,KGDX,OTA1,,CORN,KITC,
,,,,,,,,,,,
,28263,,09/12/2025 23:30,IH,,KGDX,755.00EUR,,IBE,,
,,,,,,,,,,,
,5006921,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,265.00EUR",,,
501,"Ricci, Saverio, Mr ",,06/12/2025 14:30,6,2/0,KGDX,BAR00,Telefonica,CORG,UPGR,
,,,,,,,,,,,
,28432,,12/12/2025 06:30,IH,,KGDX,889.00EUR,,HOT,,
,,,,,,,,,,,
,5006870,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,034.00EUR",,,
415,"Ulyanov, Milan, Mr ",,06/12/2025 14:49,10,1/0,KGST,BAREX,,FIT1,,
,,,,,,,,,,,
,28200,,16/12/2025 18:30,IH,,KCST,"1,230.00EUR",,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,2BTH,
,5006526,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"12,300.00EUR",,,
509,"Vasiliev, Moses, Mr ",,06/12/2025 14:29,10,2/0,KGSP,BAR10,Bayerische Motoren Werke (BMW),CORL,,
,,,,,,,,,,,
,28449,,16/12/2025 21:00,IH,,KGSP,631.20EUR,,CRO,BFE,
,,,,,,,,,,,
,5006711,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"6,792.00EUR",,,
119,"Wrench, Mason, Mr ",,06/12/2025 14:28,4,1/0,KGDX,BAR00,Amazon Switzerland,FIT1,GVIEW,
,,,,,,,,,,,
Multi-Res. Link,30282  / eu1MRL00060,,10/12/2025 08:15,IH,,KGDX,889.00EUR,,IBE,,
,,,,,,,,,,,
,,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,456.00EUR",,,
214,"Barbosa, David, Mr ",,07/12/2025 14:28,8,1/0,KGST,CORL25,Amazon Switzerland,CORG,,
,,,,,,,,,,,
,27911,,15/12/2025 19:00,IH,,KGST,679.00EUR,,SYN,"CRE25, DRI",
,,,,,,,,,,,
,5006307,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,432.00EUR",,,
419,"Bull, Kyle, Mr ",COR,07/12/2025 14:28,9,1/0,TWDX,BAR10,ABN Amro HQ,CORN,,TM
,,,,,,,,,,,
,27903,,16/12/2025 16:15,IH,,TWDX,631.20EUR,,SIT,BFE,
,,,,,,,,,,,
,5006300,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,000.80EUR",,,
806,"Conway, Alice, Ms ",,07/12/2025 14:28,6,2/0,KCDX,BAREX,,CORL,,
,,,,,,,,,,,
,26743,,13/12/2025 11:00,IH,,KCDX,810.00EUR,,OTH,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5004743,,OFF,,,,0.00EUR,Dertour,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,860.00EUR",,,
120,"Fenner, Isabella, Mrs ",,07/12/2025 14:28,7,2/0,KGDX,OTA1,Berkshire Hathaway,FIT1,EXT,
,,,,,,,,,,,
,28580,,14/12/2025 08:45,IH,,KGDX,755.00EUR,,CRO,,
,,,,,,,,,,,
,5006942,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"5,115.00EUR",,,
411,"Fortier, Benjamin, Mr ",,07/12/2025 14:28,3,1/0,TWSP,BAR10,,CORP,,
,,,,,,,,,,,
,26463,,10/12/2025 10:00,IH,,TWSP,765.00EUR,,GDS,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"2,295.00EUR",,,
817,"Hólmgeirsson, Sturlaugur, Mr ",,07/12/2025 14:28,9,2/0,KCST,BAREX,Amazon Austria,CORN,,TM
,,,,,,,,,,,
,27907,,16/12/2025 09:00,IH,,KCST,"1,230.00EUR",,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,EXT,
,5006366,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"11,070.00EUR",,,
504,"Jabłońska, Małgorzata, Mrs ",,07/12/2025 14:28,5,1/0,KGDX,RACK,Grupo Catalana Occidente,CORG,,
,,,,,,,,,,,
,28245,,12/12/2025 08:15,IH,,KGDX,889.00EUR,,HOT,,
,,,,,,,,,,,
,5006654,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,445.00EUR",,,
706,"Lenier, Veronique, Mrs ",,07/12/2025 14:28,3,1/0,TWSP,BAR10,,CORP,,
,,,,,,,,,,,
,26465,,10/12/2025 10:00,IH,,TWSP,765.00EUR,,SIT,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,295.00EUR",,,
205,"Lima, Lara, Ms ",,07/12/2025 14:28,3,1/0,TWDX,BAR00,,CORG,DBL2,
,,,,,,,,,,,
,28126,,10/12/2025 11:00,IH,,TWDX,789.00EUR,,OTH,,
,,,,,,,,,,,
,5006471,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,367.00EUR",,,
112,"Newman, Emma, Ms ",,07/12/2025 14:28,3,1/0,TWSP,BAR10,,CORP,,
,,,,,,,,,,,
,26462,,10/12/2025 10:00,IH,,TWSP,765.00EUR,,SYN,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,WLK,,
,,,,,,,,,,,
,,,,,,,,"2,295.00EUR",,,
812,"Nielsen, Victoria, Ms ",,07/12/2025 14:28,7,1/0,TCDX,BAREX,,CORG,,
,,,,,,,,,,,
,27889,,14/12/2025 13:00,IH,,TCDX,830.00EUR,,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,KING,
,5006229,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,810.00EUR",,,
115,"Scerri, David, Mr ",,07/12/2025 14:28,4,2/0,KGST,WEL,,CORN,,
,,,,,,,,,,,
,26768,,11/12/2025 11:00,IH,,KGST,"1,579.00EUR",,CRS,"BFC, CCS, CHAMP, MAR, SPA001, WTA",
,,,,,,,,,,,
,5004709,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"6,316.00EUR",,,
101,"Shervashidze, Kaypa, Mrs ",,07/12/2025 14:28,8,1/0,KGDX,OTA1,Mercedes Benz,CORG,,
,,,,,,,,,,,
,27917,,15/12/2025 08:45,IH,,KGDX,755.00EUR,,IBE,,
,,,,,,,,,,,
,5006339,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,785.00EUR",,,
105,"Shishani, Khadimat, Ms ",,07/12/2025 14:28,7,1/0,TWDX,BAR10,Volkswagen AG,PRMF,,
,,,,,,,,,,,
,27973,,14/12/2025 20:00,IH,,TWDX,631.20EUR,,SYN,BFE,
,,,,,,,,,,PLA,
,5006318,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,738.40EUR",,,
312,"van Hunen, Yin, Mr ",,07/12/2025 14:28,3,1/0,TWSP,BAR10,,CORP,,
,,,,,,,,,,,
,26461,,10/12/2025 10:00,IH,,TWSP,765.00EUR,,OTA,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,295.00EUR",,,
712,"Wiśniewski, Ziemowit, Mr ",,07/12/2025 14:28,4,01-Jan,A1KB,OTA1,,CORL,,
,,,,,,,,,,,
,28286,,11/12/2025 10:45,IH,,A1KB,840.00EUR,,HOT,,
,,,,,,,,,,,
,5006963,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,360.00EUR",,,
212,"Zaytseva, Galina, Ms ",,07/12/2025 14:28,3,1/0,TWSP,BAR10,,CORP,,
,,,,,,,,,,,
,26464,,10/12/2025 10:00,IH,,TWSP,765.00EUR,,OTA,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,295.00EUR",,,
,"Brown, Oliver, Mr ",,08/12/2025 14:00,4,1/0,TWSP,BAR00,,FIT1,,
,,,,,,,,,,,
,26467,,12/12/2025 10:00,DI,,TWSP,850.00EUR,,OTH,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,400.00EUR",,,
,"Carey, Mia, Ms ",,08/12/2025 13:30,5,02-Jan,A1KB,OPQ,,CORG,,
,,,,,,,,,,,
,27760,,13/12/2025 11:00,DI,,A1KB,"1,120.00EUR",,CRO,BFC,
,,,,,,,,,,PLA,
,5006191,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,600.00EUR",,,
,"Constantino, Gabrielle, Ms ",,08/12/2025 14:00,4,1/0,TWSP,BAR00,,FIT1,,
,,,,,,,,,,,
,26469,,12/12/2025 10:00,DI,,TWSP,850.00EUR,,SYN,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,400.00EUR",,,
,"Cortina, Sarah, Ms ",,08/12/2025 14:00,4,1/0,TWSP,BAR00,,FIT1,,
,,,,,,,,,,,
,26470,,12/12/2025 10:00,DI,,TWSP,850.00EUR,,HOT,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,400.00EUR",,,
,"Dias, Tomás, Mr ",,08/12/2025 21:15,2,2/0,KGDX,OPQ,Amazon Austria,FIT1,,TM
,,,,,,,,,,,
,28496,,10/12/2025 18:45,DI,,KGDX,490.00EUR,,IBE,BFC,
,,,,,,,,,,UPGR,
,5006841,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,980.00EUR,,,
,"Fortier, Benjamin, Mr ",,08/12/2025 14:00,4,1/0,TWSP,BAR00,,FIT1,,
,,,,,,,,,,,
,26468,,12/12/2025 10:00,DI,,TWSP,850.00EUR,,IBE,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,WLK,,
,,,,,,,,,,,
,,,,,,,,"3,400.00EUR",,,
,"Gairbekov, Duqyaha, Mrs ",,08/12/2025 16:45,1,2/0,TWSP,RACK,Accenture,CORN,UPGR,
,,,,,,,,,,,
,28662,,09/12/2025 23:00,DI,,TWSP,889.00EUR,,SIT,,
,,,,,,,,,,,
,5006702,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,889.00EUR,,,
,"Garðarsson, Steinar, Mr ",,08/12/2025 08:00,1,2/0,KGDX,OTA1,Deloitte,CORG,DBL2,TM
,,,,,,,,,,,
,28021,,09/12/2025 08:45,DI,,KGDX,755.00EUR,,CRO,,
,,,,,,,,,,,
,5006395,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,755.00EUR,,,
,"Gloeckner, Barbara, Ms ",,08/12/2025 19:45,3,2/0,KGDX,BAR10,Exxon Mobil,CORL,,
,,,,,,,,,,,
,28273,,11/12/2025 08:00,DI,,KGDX,711.20EUR,,SYN,BFE,
,,,,,,,,,,,
,5006788,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"1,973.60EUR",,,
,"Grabowska, Johanna, Ms ",OWNER,08/12/2025 05:45,1,2/0,KGDX,OTA1,,CORN,,
,,,,,,,,,,,
,28618,,09/12/2025 08:45,DI,,KGDX,755.00EUR,,OTH,,
,,,,,,,,,,,
,5006762,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,755.00EUR,,,
,"Herbert, Aidan, Mr ",,08/12/2025 23:45,7,2/0,KGSP,CORL25,Grupo Catalana Occidente,CORL,,
,,,,,,,,,,,
,28723,,15/12/2025 15:00,DI,,KGSP,679.00EUR,,OTH,"CRE25, DRI",
,,,,,,,,,,,
,5006844,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
,"Hjörleifsson, Sveinbjörn, Mr ",,08/12/2025 07:00,10,2/0,KCDX,BAREX,,CORG,,
,,,,,,,,,,,
,28214,,18/12/2025 07:30,DI,,KCDX,810.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006604,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"8,100.00EUR",,,
,"Jabłońska, Małgorzata, Mrs ",,08/12/2025 13:45,8,1/0,KINGR,RACK,CNN News Group,CORG,LF,TM
,,,,,,,,,,,
,27988,,16/12/2025 07:15,DI,,KINGR,"1,089.00EUR",,CRS,,
,,,,,,,,,,,
,5006326,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"8,712.00EUR",,,
,"Laura, Weber, Ms ",,08/12/2025 14:00,4,1/0,TWSP,BAR00,,FIT1,,
,,,,,,,,,,,
,26466,,12/12/2025 10:00,DI,,TWSP,850.00EUR,,IBE,,
,,,,,,,,,,,
,,,ADV,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,400.00EUR",,,
,"Lauzier, Ferragus, Mr ",,08/12/2025 16:45,9,2/0,TWDX,CORL25,Apple Incorporated Spain,PRMF,,TM
,,,,,,,,,,,
,28602,,17/12/2025 14:45,DI,,TWDX,679.00EUR,,IBE,"CRE25, DRI",
,,,,,,,,,,KITC,
,5006750,,OFF,,,,0.00EUR,,SAL,,
